Record Count,Loaded to Repository,Year,Management Group,Total Biomass (mt),Eastern Biomass (mt),Eastern Fraction,Western Biomass (mt),Western Fraction
1,2021-09-29 10:30:18,1984,OROXM005,5000.5,4680.6,0.936026397360264,319.9,0.063973602639736
1,2021-09-29 10:30:18,1984,OROXM006,2004.6,1888.3,0.941983438092388,116.3,0.058016561907613
1,2021-09-29 10:30:18,1984,OROXM007,499.9,479.8,0.959791958391678,20.1,0.040208041608322
1,2021-09-29 10:30:18,1984,OROXM0092,1075.8,705.6,0.655883993307306,370.2,0.344116006692694
1,2021-09-29 10:30:18,1984,OROXM01,5298.3,5298.3,1,0,0
1,2021-09-29 10:30:18,1984,OROXT4,3969.1,2504.2,0.630923887027286,1464.9,0.369076112972714
1,2021-09-29 10:30:18,1987,OROXM005,5399.2,4610,0.853830197066232,789.2,0.146169802933768
1,2021-09-29 10:30:18,1987,OROXM006,1721.4,1512.9,0.87887765772046,208.5,0.12112234227954
1,2021-09-29 10:30:18,1987,OROXM007,99,99,1,0,0
1,2021-09-29 10:30:18,1987,OROXM0092,45305.1,42875.3,0.946368068937051,2429.8,0.053631931062949
1,2021-09-29 10:30:18,1987,OROXM01,24391.3,24391.3,1,0,0
1,2021-09-29 10:30:18,1987,OROXT4,82207.4,79809.3,0.970828660193608,2398.1,0.029171339806392
1,2021-09-29 10:30:18,1990,OROXM005,14406.7,9404.8,0.652807374346658,5001.9,0.347192625653342
1,2021-09-29 10:30:18,1990,OROXM006,5819.1,5536.2,0.951384234675465,282.9,0.048615765324535
1,2021-09-29 10:30:18,1990,OROXM007,396.5,390,0.983606557377049,6.5,0.016393442622951
1,2021-09-29 10:30:18,1990,OROXM0092,4100.9,3361.3,0.819649345265673,739.6,0.180350654734327
1,2021-09-29 10:30:18,1990,OROXM01,27509.7,24484.3,0.890024245993231,3025.4,0.109975754006769
1,2021-09-29 10:30:18,1990,OROXT4,37679.8,36599.2,0.971321503829638,1080.6,0.028678496170362
1,2021-09-29 10:30:18,1993,OROXM005,19362.6,18299.7,0.945105512689412,1062.9,0.054894487310589
1,2021-09-29 10:30:18,1993,OROXM006,7360.8,7334.4,0.996413433322465,26.4,0.003586566677535
1,2021-09-29 10:30:18,1993,OROXM007,597.7,488.5,0.81729964865317,109.2,0.18270035134683
1,2021-09-29 10:30:18,1993,OROXM0092,643.7,438.8,0.681684014292372,204.9,0.318315985707628
1,2021-09-29 10:30:18,1993,OROXM01,31058.8,31056.9,0.999938825711232,1.9,0.000061174288768
1,2021-09-29 10:30:18,1993,OROXT4,17060.7,14040.7,0.822984988892601,3020,0.177015011107399
1,2021-09-29 10:30:18,1996,OROXM005,24954.2,23240.4,0.93132218223786,1713.8,0.06867781776214
1,2021-09-29 10:30:18,1996,OROXM006,7093.8,6211.7,0.875651977783417,882.1,0.124348022216583
1,2021-09-29 10:30:18,1996,OROXM007,575,575,1,0,0
1,2021-09-29 10:30:18,1996,OROXM0092,18470.4,17956.3,0.972166276853777,514.1,0.027833723146223
1,2021-09-29 10:30:18,1996,OROXM01,16977.6,16964.8,0.999246065403826,12.8,0.000753934596174
1,2021-09-29 10:30:18,1996,OROXT4,68800.6,63134,0.917637346185934,5666.6,0.082362653814066
1,2021-09-29 10:30:18,1999,OROXM005,31310.7,30447,0.972415180752906,863.7,0.027584819247094
1,2021-09-29 10:30:18,1999,OROXM006,17399.9,17089.3,0.982149322697257,310.6,0.017850677302743
