Survey,Year,Summary Depth,Species Code,Common Name,Scientific Name,Haul Count,Catch Count,Mean Weight CPUE,Var Weight CPUE,Mean Number CPUE,Var Number CPUE,Area Biomass,Area Biomass Var,Min Area Biomass,Max Area Population,Area Population,Area Population Var,Min Area Population,Max Area Population,Minimum Depth,Maximum Depth
GOA,2021,991,150,shark unid.,Selachii,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
GOA,2021,991,232,salmon shark,Lamna ditropis,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
GOA,2021,991,310,spiny dogfish,Squalus suckleyi,196,39,176.354876538252,1483.11242228198,68.4582537789149,230.880394436954,22758.4,24698498.0637481,12610,12840004,8835972,3844886530034.29,4831940,12840004,1,100
GOA,2021,991,320,Pacific sleeper shark,Somniosus pacificus,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
GOA,2021,991,400,skate unid.,Rajidae,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
GOA,2021,991,405,,Bathyraja sp.,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
GOA,2021,991,420,big skate,Beringraja binoculata,196,41,216.929616838491,2634.43035005392,27.007938396382,64.5201930979334,27996.1,43871571.650497,14610,5581375,3486479,1074464646348.29,1391583,5581375,1,100
GOA,2021,991,435,Bering skate,Bathyraja interrupta,196,6,3.3648013644569,3.84141514570288,1.13851720460257,0.220860800145097,434.4,63971.6741042551,0,275416,146845,3678028693.434,18274,275416,1,100
GOA,2021,991,440,longnose skate,Raja rhina,196,31,71.3202432164766,158.574909350534,8.20288483206162,2.02324701274997,9202,2640772.22516078,5918,1428604,1057634,33693442031.8599,686664,1428604,1,100
GOA,2021,991,455,mud skate,Bathyraja taranetzi,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
GOA,2021,991,460,roughtail skate,Bathyraja trachura,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
GOA,2021,991,471,Alaska skate,Bathyraja parmifera,196,1,1.39473660685863,1.94700007180483,0.32285569603209,0.10432742154304,180.1,32423.6900595835,0,137800,41682,1737380511.59462,0,137800,1,100
GOA,2021,991,472,Aleutian skate,Bathyraja aleutica,196,16,27.5356479071796,61.943941820953,3.54147288831668,0.878645811874907,3551.2,1031561.93970227,1499,700261,455793,14632223125.6902,211325,700261,1,100
