Collection Year,Collection Agency,Collection Name,OBS Gear Code,FMP Area,Reporting Area,ADFG Region,ADFG Statistical Area,Agency Species Code Type,Species Code,Species Group Code,Species Group Name,Number Animals,Weight,Record Count,Contact,Date Received from AKR
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,620,Westward,585531,AKR,153,ROCK,Other Rockfish,1,0.01,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Southcentral,525902,AKR,158,ROCK,Other Rockfish,0,2.4,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,515802,AKR,153,ROCK,Other Rockfish,1,0.3,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525732,AKR,153,ROCK,Other Rockfish,1,0.15,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525733,AKR,153,ROCK,Other Rockfish,3,1.55,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525802,AKR,153,ROCK,Other Rockfish,1,1,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,525806,AKR,153,ROCK,Other Rockfish,2,0.95,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,535632,AKR,153,ROCK,Other Rockfish,2,1.85,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,535732,AKR,145,ROCK,Other Rockfish,1,0.8,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,535732,AKR,153,ROCK,Other Rockfish,17,19.25,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Large-Mesh Trawl Survey,1,GOA,630,Westward,535733,AKR,153,ROCK,Other Rockfish,3,3.3,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Small-Mesh Trawl Survey,1,GOA,620,Westward,555701,AKR,153,ROCK,Other Rockfish,6,0.64,1,"Aaren Ellsworth, ADFG, aaren.ellsworth@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Small-Mesh Trawl Survey,1,GOA,620,Westward,575634,AKR,139,ROCK,Other Rockfish,4,0.01,1,"Aaren Ellsworth, ADFG, aaren.ellsworth@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Small-Mesh Trawl Survey,1,GOA,630,Westward,525731,AKR,153,ROCK,Other Rockfish,2,0.79,1,"Aaren Ellsworth, ADFG, aaren.ellsworth@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Sport Fishery,,GOA,610,,,AKR,155,ROCK,Other Rockfish,31,40.3,1,"Scott Meyer,  ADFG, scott.meyer@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Sport Fishery,,GOA,620,,,AKR,155,ROCK,Other Rockfish,6,7.8,1,"Scott Meyer,  ADFG, scott.meyer@alaska.gov",2021-10-31 19:00:02
2010,ADFG,Sport Fishery,,GOA,630,,,AKR,155,ROCK,Other Rockfish,1257,1620.9,1,"Scott Meyer,  ADFG, scott.meyer@alaska.gov",2021-10-31 19:00:02
