Year,Week Ending Date,Week Number,WED (mmdd),Detail Record Count,Date Received from AKR,Date Loaded to Repository,Processor Federal Permit,Processor Vessel Name,Processor Name,Processor Plant/Operation,Vessel ADFG,Vessel Name,Vessel Length,Trip Target Group,Trip Target Name,Species Group,Species,Gear,FMP Area,FMP Subarea,NMFS Area,Retained/Discarded,# Distinct Processors,# Distinct Vessels,Conf Flag,Catch (mt),Weight Posted (Sum),Reporting Area Code,Harvest Sector
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,20339,ENTERPRISE,78,Pacific Cod,Pacific Cod,GOA Dusky Rockfish,"""rockfish, dusky""",POT,GOA,CG,630,Discarded,1,1,1,0.0015865987,0.0015865987,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,20339,ENTERPRISE,78,Pacific Cod,Pacific Cod,Other Rockfish,"""rockfish, other""",POT,GOA,CG,630,Discarded,1,1,1,0.000530377,0.000530377,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,23258,SUMNER STRAIT,58,Pacific Cod,Pacific Cod,Other Rockfish,"""rockfish, other""",POT,GOA,CG,630,Discarded,1,1,1,0.001031806,0.001031806,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,23258,SUMNER STRAIT,58,Pacific Cod,Pacific Cod,Other Rockfish,"""rockfish, yelloweye (red snapper)""",POT,GOA,CG,630,Discarded,1,1,1,0.0019713625,0.0019713625,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,23258,SUMNER STRAIT,58,Pacific Cod,Pacific Cod,Other Rockfish,"""rockfish, yelloweye (red snapper)""",POT,GOA,CG,630,Retained,1,1,1,0.0058967008,0.0058967008,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,23258,SUMNER STRAIT,58,Pacific Cod,Pacific Cod,Shark,"""shark, spiny dogfish""",POT,GOA,CG,630,Discarded,1,1,1,0.0089335345,0.0089335345,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,31170,FV EL CAPORAL,38,Pacific Cod,Pacific Cod,GOA Dusky Rockfish,"""rockfish, dusky""",POT,GOA,CG,630,Discarded,1,1,1,0.0000975543,0.0000975543,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,31170,FV EL CAPORAL,38,Pacific Cod,Pacific Cod,Other Rockfish,"""rockfish, other""",POT,GOA,CG,630,Discarded,1,1,1,0.000032611,0.000032611,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,68008,OCEAN BAY,58,Pacific Cod,Pacific Cod,Other Rockfish,"""rockfish, other""",POT,GOA,CG,630,Discarded,1,1,1,0.0013309872,0.0013309872,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,68008,OCEAN BAY,58,Pacific Cod,Pacific Cod,Other Rockfish,"""rockfish, yelloweye (red snapper)""",POT,GOA,CG,630,Discarded,1,1,1,0.0025429764,0.0025429764,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,68008,OCEAN BAY,58,Pacific Cod,Pacific Cod,Shark,"""shark, spiny dogfish""",POT,GOA,CG,630,Discarded,1,1,1,0.011523891,0.011523891,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,76842,ANTHEM,57,Pacific Cod,Pacific Cod,GOA Dusky Rockfish,"""rockfish, dusky""",POT,GOA,CG,630,Discarded,1,1,1,0.0014400028,0.0014400028,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,76842,ANTHEM,57,Pacific Cod,Pacific Cod,GOA Dusky Rockfish,"""rockfish, dusky""",POT,GOA,CG,630,Retained,1,1,1,0.0009071847,0.0009071847,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,76842,ANTHEM,57,Pacific Cod,Pacific Cod,Other Rockfish,"""rockfish, other""",POT,GOA,CG,630,Discarded,1,1,1,0.0004813721,0.0004813721,630,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,78238,INSATIABLE,57,Pacific Cod,Pacific Cod,GOA Dusky Rockfish,"""rockfish, dusky""",POT,GOA,CG,620,Discarded,1,1,1,0.0017694527,0.0017694527,620,CV
2021,2021-01-02,1,0102,1,2021-09-26 19:00:05,2021-09-27 07:45:01,27990,,"""""",,78238,INSATIABLE,57,Pacific Cod,Pacific Cod,Other Rockfish,"""rockfish, other""",POT,GOA,CG,620,Discarded,1,1,1,0.0005915024,0.0005915024,620,CV
