year,fmp_subarea,ABC,TAC
2012,CGOA,606,606
2012,SOUTHEAST,3165,200
2012,WGOA,44,44
2012,WYAK,230,230
2013,CGOA,606,606
2013,SOUTHEAST,3165,200
2013,WGOA,44,44
2013,WYAK,230,230
2014,SOUTHEAST,2470,200
2014,WEST_CENTRAL,1031,1031
2014,WYAK,580,580
2015,SOUTHEAST,2470,200
2015,WEST_CENTRAL,1031,1031
2015,WYAK,580,580
2016,SOUTHEAST,3665,200
2016,WEST_CENTRAL,1534,1534
2016,WYAK,574,574
2017,SOUTHEAST,3665,200
2017,WEST_CENTRAL,1534,1534
2017,WYAK,574,574
2018,SOUTHEAST,3489,200
2018,WEST_CENTRAL,1737,1737
2018,WYAK,368,368
2019,SOUTHEAST,3489,3489
2019,WEST_CENTRAL,1737,1737
2019,WYAK,368,368
2020,SOUTHEAST,2744,2744
2020,WEST_CENTRAL,940,940
2020,WYAK,369,369
2021,SOUTHEAST,2744,2744
2021,WEST_CENTRAL,940,940
2021,WYAK,369,369
2022,SOUTHEAST,2454,NA
2022,WEST_CENTRAL,396,396
2022,WYAK,312,312
