"SURVEY","YEAR","REGULATORY_AREA_NAME","Biomass","Variance","SE","CV","HAUL_COUNT","CATCH_COUNT","Group"
"AI",1980,"AI",0,0,0,0,127,0,"Silvergray_Rockfish"
"AI",1980,"ALEUTIANS",0,0,0,0,109,0,"Silvergray_Rockfish"
"AI",1980,"S BERING SEA",0,0,0,0,18,0,"Silvergray_Rockfish"
"AI",1983,"AI",0,0,0,0,290,0,"Silvergray_Rockfish"
"AI",1983,"ALEUTIANS",0,0,0,0,256,0,"Silvergray_Rockfish"
"AI",1983,"S BERING SEA",0,0,0,0,34,0,"Silvergray_Rockfish"
"AI",1986,"AI",0,0,0,0,383,0,"Silvergray_Rockfish"
"AI",1986,"ALEUTIANS",0,0,0,0,320,0,"Silvergray_Rockfish"
"AI",1986,"S BERING SEA",0,0,0,0,63,0,"Silvergray_Rockfish"
"AI",1991,"AI",0,0,0,0,331,0,"Silvergray_Rockfish"
"AI",1991,"ALEUTIANS",0,0,0,0,276,0,"Silvergray_Rockfish"
"AI",1991,"S BERING SEA",0,0,0,0,55,0,"Silvergray_Rockfish"
"AI",1994,"AI",0,0,0,0,380,0,"Silvergray_Rockfish"
"AI",1994,"ALEUTIANS",0,0,0,0,316,0,"Silvergray_Rockfish"
"AI",1994,"S BERING SEA",0,0,0,0,64,0,"Silvergray_Rockfish"
"AI",1997,"AI",0,0,0,0,396,0,"Silvergray_Rockfish"
"AI",1997,"ALEUTIANS",0,0,0,0,344,0,"Silvergray_Rockfish"
"AI",1997,"S BERING SEA",0,0,0,0,52,0,"Silvergray_Rockfish"
"AI",2000,"AI",0,0,0,0,419,0,"Silvergray_Rockfish"
"AI",2000,"ALEUTIANS",0,0,0,0,361,0,"Silvergray_Rockfish"
"AI",2000,"S BERING SEA",0,0,0,0,58,0,"Silvergray_Rockfish"
"AI",2002,"AI",4.25303618999951,18.0883168334456,4.25303618999951,1,414,1,"Silvergray_Rockfish"
"AI",2002,"ALEUTIANS",4.25303618999951,18.0883168334456,4.25303618999951,1,353,1,"Silvergray_Rockfish"
"AI",2002,"S BERING SEA",0,0,0,0,61,0,"Silvergray_Rockfish"
"AI",2004,"AI",0,0,0,0,419,0,"Silvergray_Rockfish"
"AI",2004,"ALEUTIANS",0,0,0,0,366,0,"Silvergray_Rockfish"
"AI",2004,"S BERING SEA",0,0,0,0,53,0,"Silvergray_Rockfish"
"AI",2006,"AI",0,0,0,0,357,0,"Silvergray_Rockfish"
"AI",2006,"ALEUTIANS",0,0,0,0,313,0,"Silvergray_Rockfish"
"AI",2006,"S BERING SEA",0,0,0,0,44,0,"Silvergray_Rockfish"
"AI",2010,"AI",0,0,0,0,418,0,"Silvergray_Rockfish"
"AI",2010,"ALEUTIANS",0,0,0,0,367,0,"Silvergray_Rockfish"
"AI",2010,"S BERING SEA",0,0,0,0,51,0,"Silvergray_Rockfish"
"AI",2012,"AI",0,0,0,0,420,0,"Silvergray_Rockfish"
"AI",2012,"ALEUTIANS",0,0,0,0,365,0,"Silvergray_Rockfish"
"AI",2012,"S BERING SEA",0,0,0,0,55,0,"Silvergray_Rockfish"
"AI",2014,"AI",0,0,0,0,410,0,"Silvergray_Rockfish"
"AI",2014,"ALEUTIANS",0,0,0,0,366,0,"Silvergray_Rockfish"
"AI",2014,"S BERING SEA",0,0,0,0,44,0,"Silvergray_Rockfish"
"AI",2016,"AI",0,0,0,0,419,0,"Silvergray_Rockfish"
"AI",2016,"ALEUTIANS",0,0,0,0,376,0,"Silvergray_Rockfish"
"AI",2016,"S BERING SEA",0,0,0,0,43,0,"Silvergray_Rockfish"
"AI",2018,"AI",0,0,0,0,420,0,"Silvergray_Rockfish"
"AI",2018,"ALEUTIANS",0,0,0,0,375,0,"Silvergray_Rockfish"
"AI",2018,"S BERING SEA",0,0,0,0,45,0,"Silvergray_Rockfish"
"EBS_SHELF",1982,"EBS_SHELF",0,0,0,0,329,0,"Silvergray_Rockfish"
"EBS_SHELF",1983,"EBS_SHELF",0,0,0,0,353,0,"Silvergray_Rockfish"
"EBS_SHELF",1984,"EBS_SHELF",0,0,0,0,355,0,"Silvergray_Rockfish"
"EBS_SHELF",1985,"EBS_SHELF",0,0,0,0,353,0,"Silvergray_Rockfish"
"EBS_SHELF",1986,"EBS_SHELF",0,0,0,0,354,0,"Silvergray_Rockfish"
"EBS_SHELF",1987,"EBS_SHELF",0,0,0,0,343,0,"Silvergray_Rockfish"
"EBS_SHELF",1988,"EBS_SHELF",0,0,0,0,353,0,"Silvergray_Rockfish"
