"SURVEY","YEAR","REGULATORY_AREA_NAME","Biomass","Variance","SE","CV","HAUL_COUNT","CATCH_COUNT","Group"
"AI",1980,"AI",0.496314664321284,0.246328246020348,0.496314664321284,1,127,1,"Sharpchin_Rockfish"
"AI",1980,"ALEUTIANS",0.496314664321284,0.246328246020348,0.496314664321284,1,109,1,"Sharpchin_Rockfish"
"AI",1980,"S BERING SEA",0,0,0,0,18,0,"Sharpchin_Rockfish"
"AI",1983,"AI",0,0,0,0,290,0,"Sharpchin_Rockfish"
"AI",1983,"ALEUTIANS",0,0,0,0,256,0,"Sharpchin_Rockfish"
"AI",1983,"S BERING SEA",0,0,0,0,34,0,"Sharpchin_Rockfish"
"AI",1986,"AI",0,0,0,0,383,0,"Sharpchin_Rockfish"
"AI",1986,"ALEUTIANS",0,0,0,0,320,0,"Sharpchin_Rockfish"
"AI",1986,"S BERING SEA",0,0,0,0,63,0,"Sharpchin_Rockfish"
"AI",1991,"AI",2.65423184461191,6.40109213971494,2.53003797199073,0.953209109116336,331,2,"Sharpchin_Rockfish"
"AI",1991,"ALEUTIANS",0,0,0,0,276,0,"Sharpchin_Rockfish"
"AI",1991,"S BERING SEA",2.65423184461191,6.40109213971494,2.53003797199073,0.953209109116336,55,2,"Sharpchin_Rockfish"
"AI",1994,"AI",2.06397477303066,2.32503427250024,1.52480630655183,0.73877177496354,380,2,"Sharpchin_Rockfish"
"AI",1994,"ALEUTIANS",1.3442679820114,1.80705640746099,1.3442679820114,1,316,1,"Sharpchin_Rockfish"
"AI",1994,"S BERING SEA",0.719706791019266,0.517977865039249,0.719706791019266,1,64,1,"Sharpchin_Rockfish"
"AI",1997,"AI",0,0,0,0,396,0,"Sharpchin_Rockfish"
"AI",1997,"ALEUTIANS",0,0,0,0,344,0,"Sharpchin_Rockfish"
"AI",1997,"S BERING SEA",0,0,0,0,52,0,"Sharpchin_Rockfish"
"AI",2000,"AI",0,0,0,0,419,0,"Sharpchin_Rockfish"
"AI",2000,"ALEUTIANS",0,0,0,0,361,0,"Sharpchin_Rockfish"
"AI",2000,"S BERING SEA",0,0,0,0,58,0,"Sharpchin_Rockfish"
"AI",2002,"AI",0,0,0,0,414,0,"Sharpchin_Rockfish"
"AI",2002,"ALEUTIANS",0,0,0,0,353,0,"Sharpchin_Rockfish"
"AI",2002,"S BERING SEA",0,0,0,0,61,0,"Sharpchin_Rockfish"
"AI",2004,"AI",2.65132133649197,7.02950482933759,2.65132133649197,1,419,1,"Sharpchin_Rockfish"
"AI",2004,"ALEUTIANS",0,0,0,0,366,0,"Sharpchin_Rockfish"
"AI",2004,"S BERING SEA",2.65132133649197,7.02950482933759,2.65132133649197,1,53,1,"Sharpchin_Rockfish"
"AI",2006,"AI",0,0,0,0,357,0,"Sharpchin_Rockfish"
"AI",2006,"ALEUTIANS",0,0,0,0,313,0,"Sharpchin_Rockfish"
"AI",2006,"S BERING SEA",0,0,0,0,44,0,"Sharpchin_Rockfish"
"AI",2010,"AI",3.00131541855202,9.00789424163808,3.00131541855202,1,418,1,"Sharpchin_Rockfish"
"AI",2010,"ALEUTIANS",3.00131541855202,9.00789424163808,3.00131541855202,1,367,1,"Sharpchin_Rockfish"
"AI",2010,"S BERING SEA",0,0,0,0,51,0,"Sharpchin_Rockfish"
"AI",2012,"AI",0,0,0,0,420,0,"Sharpchin_Rockfish"
"AI",2012,"ALEUTIANS",0,0,0,0,365,0,"Sharpchin_Rockfish"
"AI",2012,"S BERING SEA",0,0,0,0,55,0,"Sharpchin_Rockfish"
"AI",2014,"AI",4.37656049049661,19.1542817269759,4.37656049049661,1,410,1,"Sharpchin_Rockfish"
"AI",2014,"ALEUTIANS",4.37656049049661,19.1542817269759,4.37656049049661,1,366,1,"Sharpchin_Rockfish"
"AI",2014,"S BERING SEA",0,0,0,0,44,0,"Sharpchin_Rockfish"
"AI",2016,"AI",3.54838623443565,9.93706417517822,3.15231092615849,0.88837874963176,419,2,"Sharpchin_Rockfish"
"AI",2016,"ALEUTIANS",3.54838623443565,9.93706417517822,3.15231092615849,0.88837874963176,376,2,"Sharpchin_Rockfish"
"AI",2016,"S BERING SEA",0,0,0,0,43,0,"Sharpchin_Rockfish"
"AI",2018,"AI",0,0,0,0,420,0,"Sharpchin_Rockfish"
"AI",2018,"ALEUTIANS",0,0,0,0,375,0,"Sharpchin_Rockfish"
"AI",2018,"S BERING SEA",0,0,0,0,45,0,"Sharpchin_Rockfish"
"EBS_SHELF",1982,"EBS_SHELF",0,0,0,0,329,0,"Sharpchin_Rockfish"
"EBS_SHELF",1983,"EBS_SHELF",0,0,0,0,353,0,"Sharpchin_Rockfish"
"EBS_SHELF",1984,"EBS_SHELF",0,0,0,0,355,0,"Sharpchin_Rockfish"
"EBS_SHELF",1985,"EBS_SHELF",0,0,0,0,353,0,"Sharpchin_Rockfish"
"EBS_SHELF",1986,"EBS_SHELF",0,0,0,0,354,0,"Sharpchin_Rockfish"
"EBS_SHELF",1987,"EBS_SHELF",0,0,0,0,343,0,"Sharpchin_Rockfish"
"EBS_SHELF",1988,"EBS_SHELF",0,0,0,0,353,0,"Sharpchin_Rockfish"
"EBS_SHELF",1989,"EBS_SHELF",0,0,0,0,354,0,"Sharpchin_Rockfish"
