"YEAR","REGULATORY_AREA_NAME","Biom_est","Biom_CV","Biom_LL","Biom_UL","Group"
"1980","AI","0","0","0","0","Copper_Rockfish"
"1980","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1980","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1981","AI","0","0","0","0","Copper_Rockfish"
"1981","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1981","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1982","AI","0","0","0","0","Copper_Rockfish"
"1982","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1982","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1983","AI","0","0","0","0","Copper_Rockfish"
"1983","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1983","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1984","AI","0","0","0","0","Copper_Rockfish"
"1984","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1984","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1985","AI","0","0","0","0","Copper_Rockfish"
"1985","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1985","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1986","AI","0","0","0","0","Copper_Rockfish"
"1986","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1986","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1987","AI","0","0","0","0","Copper_Rockfish"
"1987","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1987","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1988","AI","0","0","0","0","Copper_Rockfish"
"1988","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1988","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1989","AI","0","0","0","0","Copper_Rockfish"
"1989","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1989","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1990","AI","0","0","0","0","Copper_Rockfish"
"1990","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1990","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1991","AI","0","0","0","0","Copper_Rockfish"
"1991","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1991","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1992","AI","0","0","0","0","Copper_Rockfish"
"1992","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1992","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1993","AI","0","0","0","0","Copper_Rockfish"
"1993","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1993","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1994","AI","0","0","0","0","Copper_Rockfish"
"1994","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1994","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1995","AI","0","0","0","0","Copper_Rockfish"
"1995","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1995","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1996","AI","0","0","0","0","Copper_Rockfish"
"1996","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1996","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1997","AI","0","0","0","0","Copper_Rockfish"
"1997","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1997","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1998","AI","0","0","0","0","Copper_Rockfish"
"1998","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1998","S BERING SEA","0","0","0","0","Copper_Rockfish"
"1999","AI","0","0","0","0","Copper_Rockfish"
"1999","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"1999","S BERING SEA","0","0","0","0","Copper_Rockfish"
"2000","AI","0","0","0","0","Copper_Rockfish"
"2000","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"2000","S BERING SEA","0","0","0","0","Copper_Rockfish"
"2001","AI","0","0","0","0","Copper_Rockfish"
"2001","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"2001","S BERING SEA","0","0","0","0","Copper_Rockfish"
"2002","AI","0","0","0","0","Copper_Rockfish"
"2002","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"2002","S BERING SEA","0","0","0","0","Copper_Rockfish"
"2003","AI","0","0","0","0","Copper_Rockfish"
"2003","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"2003","S BERING SEA","0","0","0","0","Copper_Rockfish"
"2004","AI","0","0","0","0","Copper_Rockfish"
"2004","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"2004","S BERING SEA","0","0","0","0","Copper_Rockfish"
"2005","AI","0","0","0","0","Copper_Rockfish"
"2005","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"2005","S BERING SEA","0","0","0","0","Copper_Rockfish"
"2006","AI","0","0","0","0","Copper_Rockfish"
"2006","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"2006","S BERING SEA","0","0","0","0","Copper_Rockfish"
"2007","AI","0","0","0","0","Copper_Rockfish"
"2007","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"2007","S BERING SEA","0","0","0","0","Copper_Rockfish"
"2008","AI","0","0","0","0","Copper_Rockfish"
"2008","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"2008","S BERING SEA","0","0","0","0","Copper_Rockfish"
"2009","AI","0","0","0","0","Copper_Rockfish"
"2009","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"2009","S BERING SEA","0","0","0","0","Copper_Rockfish"
"2010","AI","0","0","0","0","Copper_Rockfish"
"2010","ALEUTIANS","0","0","0","0","Copper_Rockfish"
"2010","S BERING SEA","0","0","0","0","Copper_Rockfish"
"2011","AI","0","0","0","0","Copper_Rockfish"
"2011","ALEUTIANS","0","0","0","0","Copper_Rockfish"
