"YEAR","REGULATORY_AREA_NAME","Biom_est","Biom_CV","Biom_LL","Biom_UL","Group"
"1980","AI","0","0","0","0","Silvergray_Rockfish"
"1980","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
"1980","S BERING SEA","0","0","0","0","Silvergray_Rockfish"
"1981","AI","0","0","0","0","Silvergray_Rockfish"
"1981","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
"1981","S BERING SEA","0","0","0","0","Silvergray_Rockfish"
"1982","AI","0","0","0","0","Silvergray_Rockfish"
"1982","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
"1982","S BERING SEA","0","0","0","0","Silvergray_Rockfish"
"1983","AI","0","0","0","0","Silvergray_Rockfish"
"1983","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
"1983","S BERING SEA","0","0","0","0","Silvergray_Rockfish"
"1984","AI","0","0","0","0","Silvergray_Rockfish"
"1984","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
"1984","S BERING SEA","0","0","0","0","Silvergray_Rockfish"
"1985","AI","0","0","0","0","Silvergray_Rockfish"
"1985","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
"1985","S BERING SEA","0","0","0","0","Silvergray_Rockfish"
"1986","AI","0","0","0","0","Silvergray_Rockfish"
"1986","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
"1986","S BERING SEA","0","0","0","0","Silvergray_Rockfish"
"1987","AI","0","0","0","0","Silvergray_Rockfish"
"1987","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
"1987","S BERING SEA","0","0","0","0","Silvergray_Rockfish"
"1988","AI","0","0","0","0","Silvergray_Rockfish"
"1988","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
"1988","S BERING SEA","0","0","0","0","Silvergray_Rockfish"
"1989","AI","0","0","0","0","Silvergray_Rockfish"
"1989","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
"1989","S BERING SEA","0","0","0","0","Silvergray_Rockfish"
"1990","AI","0","0","0","0","Silvergray_Rockfish"
"1990","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
"1990","S BERING SEA","0","0","0","0","Silvergray_Rockfish"
"1991","AI","0","0","0","0","Silvergray_Rockfish"
"1991","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
"1991","S BERING SEA","0","0","0","0","Silvergray_Rockfish"
"1992","AI","0","0","0","0","Silvergray_Rockfish"
"1992","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
"1992","S BERING SEA","0","0","0","0","Silvergray_Rockfish"
"1993","AI","0","0","0","0","Silvergray_Rockfish"
"1993","ALEUTIANS","0","0","0","0","Silvergray_Rockfish"
