"NORPAC_name","fmp_subarea","maxCatch","OFL","ABC"
"AURORA ROCKFISH","CG",0.051,0,0
"AURORA ROCKFISH","SE",0,0,0
"AURORA ROCKFISH","WG",0,0,0
"AURORA ROCKFISH","WY",0,0,0
"CANARY ROCKFISH","CG",1.1491160988,1,1
"CANARY ROCKFISH","WG",0.0001181455,0,0
"CANARY ROCKFISH","WY",0.0417767831,0,0
"CHINA ROCKFISH","CG",0.8280111649,1,1
"CHINA ROCKFISH","WG",0.0215686009,0,0
"CHINA ROCKFISH","WY",0.0475695362,0,0
"COPPER ROCKFISH","CG",0.1915648144,0,0
"COPPER ROCKFISH","WG",0.0055029137,0,0
"COPPER ROCKFISH","WY",0.0124968677,0,0
"QUILLBACK ROCKFISH","CG",24.5316227158,25,19
"QUILLBACK ROCKFISH","WG",0.6271993843,1,1
"QUILLBACK ROCKFISH","WY",1.1702746092,1,1
"ROSETHORN ROCKFISH","CG",0.680841283,1,1
"ROSETHORN ROCKFISH","WG",0.02283849,0,0
"ROSETHORN ROCKFISH","WY",0.6197073264,1,1
"TIGER ROCKFISH","CG",3.6014900466,4,3
"TIGER ROCKFISH","WG",0.7015156055,1,1
"TIGER ROCKFISH","WY",0.1250871346,0,0
"YELLOWEYE ROCKFISH","CG",117.1729392728,117,88
"YELLOWEYE ROCKFISH","WG",48.7517120098,49,37
"YELLOWEYE ROCKFISH","WY",33.6974675452,34,26
