"YEAR","REGULATORY_AREA_NAME","Biom_est","Biom_CV","Biom_LL","Biom_UL","Group"
"1980","AI","22.9206","3.62698","0.0187446","28026.9","OROX_M0092"
"1980","ALEUTIANS","6.32225","2.54696","0.0429393","930.87","OROX_M0092"
"1980","S BERING SEA","16.5983","3.63065","0.013477","20442.6","OROX_M0092"
"1981","AI","22.9206","3.32659","0.0337736","15555.1","OROX_M0092"
"1981","ALEUTIANS","6.32225","2.09719","0.103683","385.509","OROX_M0092"
"1981","S BERING SEA","16.5983","3.33059","0.0242668","11353.1","OROX_M0092"
"1982","AI","22.9206","2.99623","0.0645338","8140.74","OROX_M0092"
"1982","ALEUTIANS","6.32225","1.51967","0.321593","124.29","OROX_M0092"
"1982","S BERING SEA","16.5983","3.00066","0.0463284","5946.76","OROX_M0092"
"1983","AI","22.9206","2.62461","0.133695","3929.49","OROX_M0092"
"1983","ALEUTIANS","6.32225","0.469646","2.51826","15.8724","OROX_M0092"
"1983","S BERING SEA","16.5983","2.62967","0.0958616","2873.98","OROX_M0092"
"1984","AI","23.9716","2.1502","0.354333","1621.74","OROX_M0092"
"1984","ALEUTIANS","7.37325","1.41461","0.460807","117.977","OROX_M0092"
"1984","S BERING SEA","16.5983","2.19689","0.223888","1230.55","OROX_M0092"
"1985","AI","25.1973","1.52649","1.26468","502.026","OROX_M0092"
"1985","ALEUTIANS","8.59896","1.80938","0.247898","298.277","OROX_M0092"
"1985","S BERING SEA","16.5983","1.65455","0.648165","425.053","OROX_M0092"
"1986","AI","26.6268","1.87664","0.672802","1053.78","OROX_M0092"
"1986","ALEUTIANS","10.0284","2.00966","0.195242","515.102","OROX_M0092"
"1986","S BERING SEA","16.5983","0.80543","3.42348","80.4749","OROX_M0092"
"1987","AI","24.3034","1.9104","0.57478","1027.62","OROX_M0092"
"1987","ALEUTIANS","11.6955","2.07264","0.20126","679.647","OROX_M0092"
"1987","S BERING SEA","12.6079","1.52863","0.630147","252.256","OROX_M0092"
"1988","AI","23.2166","1.83186","0.640451","841.608","OROX_M0092"
"1988","ALEUTIANS","13.6398","2.01123","0.264735","702.756","OROX_M0092"
"1988","S BERING SEA","9.57677","1.88102","0.239919","382.272","OROX_M0092"
"1989","AI","23.1816","1.7589","0.737795","728.37","OROX_M0092"
"1989","ALEUTIANS","15.9072","1.81286","0.455463","555.567","OROX_M0092"
"1989","S BERING SEA","7.27438","2.06233","0.127733","414.277","OROX_M0092"
"1990","AI","24.0772","1.79279","0.717058","808.456","OROX_M0092"
"1990","ALEUTIANS","18.5516","1.42129","1.14434","300.752","OROX_M0092"
"1990","S BERING SEA","5.52553","2.11701","0.0871649","350.272","OROX_M0092"
"1991","AI","25.8327","1.78484","0.781421","853.996","OROX_M0092"
"1991","ALEUTIANS","21.6356","0.495815","8.18697","57.1762","OROX_M0092"
"1991","S BERING SEA","4.19712","2.05517","0.0747409","235.691","OROX_M0092"
"1992","AI","24.1134","1.30224","1.87833","309.559","OROX_M0092"
"1992","ALEUTIANS","20.9253","1.24249","1.83251","238.945","OROX_M0092"
"1992","S BERING SEA","3.18807","1.86526","0.0823732","123.387","OROX_M0092"
"1993","AI","22.6599","1.17417","2.26876","226.323","OROX_M0092"
"1993","ALEUTIANS","20.2383","1.25341","1.73481","236.1","OROX_M0092"
"1993","S BERING SEA","2.42162","1.4994","0.128172","45.7529","OROX_M0092"
"1994","AI","21.4133","0.529939","7.57863","60.5029","OROX_M0092"
"1994","ALEUTIANS","19.5739","0.572355","6.37497","60.1001","OROX_M0092"
"1994","S BERING SEA","1.83943","0.728479","0.441153","7.66968","OROX_M0092"
"1995","AI","31.1239","1.19522","2.99021","323.957","OROX_M0092"
"1995","ALEUTIANS","29.0388","1.24921","2.50974","335.993","OROX_M0092"
"1995","S BERING SEA","2.08509","1.50028","0.110169","39.4632","OROX_M0092"
"1996","AI","45.4442","1.19715","4.3495","474.807","OROX_M0092"
"1996","ALEUTIANS","43.0806","1.2279","3.88216","478.068","OROX_M0092"
"1996","S BERING SEA","2.36357","1.86642","0.0609316","91.6839","OROX_M0092"
"1997","AI","66.5915","1.27357","5.48695","808.177","OROX_M0092"
"1997","ALEUTIANS","63.9123","0.41134","28.5394","143.128","OROX_M0092"
"1997","S BERING SEA","2.67923","2.05636","0.0475989","150.808","OROX_M0092"
"1998","AI","50.6568","1.41492","3.16398","811.039","OROX_M0092"
"1998","ALEUTIANS","47.6197","1.22541","4.31222","525.864","OROX_M0092"
"1998","S BERING SEA","3.03706","2.11808","0.0478088","192.929","OROX_M0092"
"1999","AI","38.9232","1.44866","2.27554","665.782","OROX_M0092"
"1999","ALEUTIANS","35.4805","1.23998","3.12247","403.163","OROX_M0092"
"1999","S BERING SEA","3.44267","2.06311","0.0603589","196.358","OROX_M0092"
