"YEAR","REGULATORY_AREA_NAME","Biom_est","Biom_CV","Biom_LL","Biom_UL","Group"
"1980","AI","18.1904","3.53947","0.0176598","18736.9","OROX_allnoSC"
"1980","ALEUTIANS","3.20819","0.575302","1.03885","9.90755","OROX_allnoSC"
"1980","S BERING SEA","14.9822","3.5396","0.0145413","15436.5","OROX_allnoSC"
"1981","AI","19.9987","3.24649","0.0344775","11600.3","OROX_allnoSC"
"1981","ALEUTIANS","5.0165","1.22174","0.457549","55.0002","OROX_allnoSC"
"1981","S BERING SEA","14.9822","3.2476","0.0257729","8709.4","OROX_allnoSC"
"1982","AI","22.8263","2.92156","0.0743963","7003.56","OROX_allnoSC"
"1982","ALEUTIANS","7.84408","1.20102","0.745094","82.5797","OROX_allnoSC"
"1982","S BERING SEA","14.9822","2.92661","0.0483499","4642.54","OROX_allnoSC"
"1983","AI","27.2477","2.55297","0.182892","4059.43","OROX_allnoSC"
"1983","ALEUTIANS","12.2655","0.424732","5.33512","28.1983","OROX_allnoSC"
"1983","S BERING SEA","14.9822","2.56576","0.0980738","2288.75","OROX_allnoSC"
"1984","AI","28.1646","2.05005","0.506602","1565.82","OROX_allnoSC"
"1984","ALEUTIANS","13.1824","1.36994","0.899255","193.245","OROX_allnoSC"
"1984","S BERING SEA","14.9822","2.14506","0.223699","1003.43","OROX_allnoSC"
"1985","AI","29.1502","1.51305","1.50214","565.683","OROX_allnoSC"
"1985","ALEUTIANS","14.168","1.75804","0.451685","444.406","OROX_allnoSC"
"1985","S BERING SEA","14.9822","1.61845","0.627946","357.461","OROX_allnoSC"
"1986","AI","30.2094","1.86219","0.785253","1162.18","OROX_allnoSC"
"1986","ALEUTIANS","15.2272","1.95508","0.329933","702.771","OROX_allnoSC"
"1986","S BERING SEA","14.9822","0.798436","3.1328","71.6503","OROX_allnoSC"
"1987","AI","24.8951","1.93358","0.562628","1101.56","OROX_allnoSC"
"1987","ALEUTIANS","16.3656","2.01782","0.313567","854.148","OROX_allnoSC"
"1987","S BERING SEA","8.52951","1.42384","0.523509","138.971","OROX_allnoSC"
"1988","AI","22.4451","1.88691","0.555842","906.338","OROX_allnoSC"
"1988","ALEUTIANS","17.5891","1.95921","0.378034","818.384","OROX_allnoSC"
"1988","S BERING SEA","4.85593","1.6488","0.191771","122.959","OROX_allnoSC"
"1989","AI","21.6686","1.70816","0.761751","616.382","OROX_allnoSC"
"1989","ALEUTIANS","18.9041","1.76722","0.591929","603.731","OROX_allnoSC"
