"YEAR","REGULATORY_AREA_NAME","Biom_est","Biom_CV","Biom_LL","Biom_UL","Group"
"1980","AI","1.69021","0.731885","0.402669","7.0947","Sharpchin_Rockfish"
"1980","ALEUTIANS","0.611571","0.476092","0.240541","1.55491","Sharpchin_Rockfish"
"1980","S BERING SEA","1.07864","0.928997","0.174622","6.66277","Sharpchin_Rockfish"
"1981","AI","1.71555","0.701962","0.433392","6.79085","Sharpchin_Rockfish"
"1981","ALEUTIANS","0.636906","0.494391","0.241681","1.67845","Sharpchin_Rockfish"
"1981","S BERING SEA","1.07864","0.905718","0.182774","6.3656","Sharpchin_Rockfish"
"1982","AI","1.74193","0.672387","0.466319","6.50696","Sharpchin_Rockfish"
"1982","ALEUTIANS","0.663291","0.511187","0.243541","1.80649","Sharpchin_Rockfish"
"1982","S BERING SEA","1.07864","0.881825","0.191537","6.07436","Sharpchin_Rockfish"
"1983","AI","1.76941","0.643367","0.501398","6.24415","Sharpchin_Rockfish"
"1983","ALEUTIANS","0.690768","0.526628","0.246069","1.93913","Sharpchin_Rockfish"
"1983","S BERING SEA","1.07864","0.857266","0.200982","5.7889","Sharpchin_Rockfish"
"1984","AI","1.79802","0.615125","0.538506","6.00345","Sharpchin_Rockfish"
"1984","ALEUTIANS","0.719384","0.540824","0.249231","2.07644","Sharpchin_Rockfish"
"1984","S BERING SEA","1.07864","0.831982","0.211193","5.50901","Sharpchin_Rockfish"
"1985","AI","1.82782","0.587904","0.577431","5.78587","Sharpchin_Rockfish"
"1985","ALEUTIANS","0.749185","0.553876","0.253","2.21849","Sharpchin_Rockfish"
"1985","S BERING SEA","1.07864","0.805904","0.222268","5.23451","Sharpchin_Rockfish"
"1986","AI","1.85886","0.561961","0.617868","5.59239","Sharpchin_Rockfish"
"1986","ALEUTIANS","0.78022","0.56586","0.257364","2.36531","Sharpchin_Rockfish"
"1986","S BERING SEA","1.07864","0.778954","0.234324","4.96519","Sharpchin_Rockfish"
"1987","AI","1.89118","0.537555","0.659413","5.42387","Sharpchin_Rockfish"
"1987","ALEUTIANS","0.812542","0.576845","0.262316","2.5169","Sharpchin_Rockfish"
"1987","S BERING SEA","1.07864","0.751037","0.247503","4.70081","Sharpchin_Rockfish"
"1988","AI","1.92484","0.514943","0.701563","5.28109","Sharpchin_Rockfish"
"1988","ALEUTIANS","0.846202","0.586885","0.26786","2.67325","Sharpchin_Rockfish"
"1988","S BERING SEA","1.07864","0.722041","0.261977","4.44109","Sharpchin_Rockfish"
"1989","AI","1.9599","0.494368","0.743735","5.16473","Sharpchin_Rockfish"
"1989","ALEUTIANS","0.881257","0.596028","0.274001","2.83434","Sharpchin_Rockfish"
"1989","S BERING SEA","1.07864","0.69183","0.277958","4.18576","Sharpchin_Rockfish"
"1990","AI","1.9964","0.476043","0.785293","5.07533","Sharpchin_Rockfish"
"1990","ALEUTIANS","0.917763","0.604316","0.280755","3.00009","Sharpchin_Rockfish"
"1990","S BERING SEA","1.07864","0.660239","0.295713","3.93444","Sharpchin_Rockfish"
"1991","AI","2.03442","0.460137","0.82559","5.01323","Sharpchin_Rockfish"
"1991","ALEUTIANS","0.955782","0.611783","0.288137","3.17044","Sharpchin_Rockfish"
"1991","S BERING SEA","1.07864","0.627057","0.315584","3.6867","Sharpchin_Rockfish"
